,index,epoch,low,high,open,close,volume,date
0,299,1623580200,35791.2,35945.66,35885.52,35945.66,51.03605648,2021-06-13 10:30:00
1,298,1623581100,35918.83,36084.89,35946.74,35989.92,100.15429818,2021-06-13 10:45:00
2,297,1623582000,35958.28,36098.0,35990.19,36015.49,56.61194172,2021-06-13 11:00:00
3,296,1623582900,35949.73,36069.03,36013.42,35969.79,47.97217368,2021-06-13 11:15:00
4,295,1623583800,35791.39,35960.77,35960.77,35800.72,46.84785206,2021-06-13 11:30:00
5,294,1623584700,35764.17,35916.62,35801.65,35914.04,52.96920805,2021-06-13 11:45:00
6,293,1623585600,35856.93,36159.1,35912.53,36004.31,166.77626865,2021-06-13 12:00:00
7,292,1623586500,35866.95,36057.64,36004.31,35866.95,37.12979895,2021-06-13 12:15:00
8,291,1623587400,35810.88,35965.35,35866.95,35868.31,40.73223767,2021-06-13 12:30:00
9,290,1623588300,35841.84,36015.48,35868.31,35892.99,78.47270367,2021-06-13 12:45:00
10,289,1623589200,35790.95,35984.31,35892.72,35937.53,69.33281485,2021-06-13 13:00:00
11,288,1623590100,35885.12,36013.32,35940.95,36007.58,46.12898834,2021-06-13 13:15:00
12,287,1623591000,35890.21,36082.03,36007.58,36040.53,88.83525748,2021-06-13 13:30:00
13,286,1623591900,35875.76,36079.87,36040.53,35901.28,69.04960029,2021-06-13 13:45:00
14,285,1623592800,35859.41,36029.6,35901.28,35873.5,105.51809751,2021-06-13 14:00:00
15,284,1623593700,35686.62,35878.24,35873.26,35757.69,108.54309304,2021-06-13 14:15:00
16,283,1623594600,35750.0,35887.99,35755.83,35863.24,61.53752926,2021-06-13 14:30:00
17,282,1623595500,35779.48,35910.69,35862.97,35779.48,57.59615728,2021-06-13 14:45:00
18,281,1623596400,35747.48,35985.15,35779.47,35951.06,62.4953872,2021-06-13 15:00:00
19,280,1623597300,35835.01,35951.06,35951.06,35837.85,43.04881783,2021-06-13 15:15:00
20,279,1623598200,35825.6,35976.29,35837.85,35912.36,49.97239241,2021-06-13 15:30:00
21,278,1623599100,35887.97,36076.99,35912.36,36047.52,87.5257007,2021-06-13 15:45:00
22,277,1623600000,36000.0,36500.0,36047.52,36482.92,289.57470297,2021-06-13 16:00:00
23,276,1623600900,36410.16,36989.0,36482.92,36857.11,519.9588126,2021-06-13 16:15:00
24,275,1623601800,36846.79,37180.06,36857.11,37121.0,322.01690797,2021-06-13 16:30:00
25,274,1623602700,36972.55,37144.67,37121.0,37034.8,219.10144609,2021-06-13 16:45:00
26,273,1623603600,36867.09,37099.99,37034.8,37010.05,149.87615618,2021-06-13 17:00:00
27,272,1623604500,36991.14,37300.0,37010.05,37213.1,257.79291541,2021-06-13 17:15:00
28,271,1623605400,37080.0,37468.32,37213.1,37352.44,279.43676924,2021-06-13 17:30:00
29,270,1623606300,37300.0,37490.0,37339.45,37320.9,233.4866484,2021-06-13 17:45:00
30,269,1623607200,37288.48,37444.07,37320.91,37441.68,235.03652328,2021-06-13 18:00:00
31,268,1623608100,37389.0,37634.73,37441.69,37514.95,406.4252386,2021-06-13 18:15:00
32,267,1623609000,37322.79,37540.0,37516.51,37375.64,168.86043608,2021-06-13 18:30:00
33,266,1623609900,37322.11,37500.0,37374.03,37500.0,161.3812437,2021-06-13 18:45:00
34,265,1623610800,37369.54,37533.01,37500.0,37416.88,130.58100576,2021-06-13 19:00:00
35,264,1623611700,37291.62,37435.96,37416.88,37382.7,196.97154197,2021-06-13 19:15:00
36,263,1623612600,37382.69,37576.46,37382.69,37559.85,164.14570766,2021-06-13 19:30:00
37,262,1623613500,37553.45,37765.0,37553.46,37669.98,332.33326082,2021-06-13 19:45:00
38,261,1623614400,37661.35,39260.86,37669.99,38955.56,1849.38312927,2021-06-13 20:00:00
39,260,1623615300,38642.17,39048.29,38948.34,38761.93,555.94256464,2021-06-13 20:15:00
40,259,1623616200,38670.48,38917.0,38758.35,38826.94,291.62008409,2021-06-13 20:30:00
41,258,1623617100,38810.03,39396.0,38826.94,39260.94,612.65811308,2021-06-13 20:45:00
42,257,1623618000,38819.1,39322.36,39264.57,39017.03,490.99419964,2021-06-13 21:00:00
43,256,1623618900,38872.83,39069.13,39017.39,38988.39,338.16605566,2021-06-13 21:15:00
44,255,1623619800,38986.88,39197.35,38988.39,39091.76,178.8417125,2021-06-13 21:30:00
45,254,1623620700,38870.99,39122.55,39100.43,38896.24,252.33309227,2021-06-13 21:45:00
46,253,1623621600,38726.54,39070.19,38896.24,38741.54,212.78362062,2021-06-13 22:00:00
47,252,1623622500,38694.88,38895.48,38741.55,38717.14,235.70497276,2021-06-13 22:15:00
48,251,1623623400,38715.3,39000.0,38717.17,38896.55,299.36341515,2021-06-13 22:30:00
49,250,1623624300,38815.6,38943.96,38895.57,38874.48,241.52934533,2021-06-13 22:45:00
50,249,1623625200,38737.74,38877.09,38874.48,38777.92,203.59269803,2021-06-13 23:00:00
51,248,1623626100,38780.31,39000.0,38782.38,38904.44,162.82300038,2021-06-13 23:15:00
52,247,1623627000,38800.0,38953.25,38912.14,38804.16,163.15887186,2021-06-13 23:30:00
53,246,1623627900,38757.84,39189.85,38803.79,39015.24,312.93532115,2021-06-13 23:45:00
54,245,1623628800,38808.86,39249.0,39015.24,38851.78,287.54294462,2021-06-14 00:00:00
55,244,1623629700,38791.11,39084.72,38853.58,39062.7,130.70894126,2021-06-14 00:15:00
56,243,1623630600,38889.64,39142.76,39062.71,39101.82,177.23365042,2021-06-14 00:30:00
57,242,1623631500,39042.22,39233.45,39110.55,39136.05,150.00294948,2021-06-14 00:45:00
58,241,1623632400,39011.2,39149.95,39136.05,39012.05,139.73592529,2021-06-14 01:00:00
59,240,1623633300,39000.0,39300.0,39012.05,39299.12,203.47760711,2021-06-14 01:15:00
60,239,1623634200,39249.0,39847.57,39294.55,39355.06,928.80660149,2021-06-14 01:30:00
61,238,1623635100,39038.72,39409.99,39354.04,39193.51,307.68638744,2021-06-14 01:45:00
62,237,1623636000,39112.11,39300.0,39193.5,39194.76,144.19694488,2021-06-14 02:00:00
63,236,1623636900,38792.0,39200.0,39196.59,39018.51,252.92118014,2021-06-14 02:15:00
64,235,1623637800,38911.53,39018.58,39018.5,38969.36,138.25337475,2021-06-14 02:30:00
65,234,1623638700,38932.74,39051.53,38962.82,38992.79,76.31279543,2021-06-14 02:45:00
66,233,1623639600,38846.42,39020.0,38996.63,38867.96,111.61112518,2021-06-14 03:00:00
